variant,archive_path,layer,entry_index,is_resource,resource_type,expected_size,actual_size,expected_sha1,actual_sha1,status,note
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_chu/ctf_chu.wsc,converted_xenon_pc_wsc,2006,True,2,11422,11422,47A28C9C9BEF5BC6CA1EDF13826F70411B6890BD,47A28C9C9BEF5BC6CA1EDF13826F70411B6890BD,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_chu/ctf_chu_single.wsc,converted_xenon_pc_wsc,2007,True,2,11447,11447,FC030B0AD3864C94A25163C35D587A2BA5B9DC94,FC030B0AD3864C94A25163C35D587A2BA5B9DC94,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_chu/ctf_chu_sym.wsc,converted_xenon_pc_wsc,2008,True,2,11399,11399,A63FE39900A02F9B87068DC36306A96CBDD8FD13,A63FE39900A02F9B87068DC36306A96CBDD8FD13,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_dzc/ctf_dzc_sym.wsc,converted_xenon_pc_wsc,2011,True,2,11738,11738,9E7A1944149885F9E81D0A1D0401EF69F9D96D87,9E7A1944149885F9E81D0A1D0401EF69F9D96D87,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_hen/ctf_hen.wsc,converted_xenon_pc_wsc,2014,True,2,12297,12297,025AC014EB7E850B42E753CB3B11B16B058406B5,025AC014EB7E850B42E753CB3B11B16B058406B5,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_lsh/ctf_lsh.wsc,converted_xenon_pc_wsc,2019,True,2,13277,13277,619953F010282DDF6EA87480A218739A6F6420E7,619953F010282DDF6EA87480A218739A6F6420E7,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_lsh/ctf_lsh_sym.wsc,converted_xenon_pc_wsc,2020,True,2,11386,11386,D5C0D24FA25AF29A75E5BA54E952017D1BCF7C8C,D5C0D24FA25AF29A75E5BA54E952017D1BCF7C8C,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_tes/ctf_tes_single.wsc,converted_xenon_pc_wsc,2025,True,2,10769,10769,82C14FC21412228B95FF91E85012041DC872E0E0,82C14FC21412228B95FF91E85012041DC872E0E0,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_tes/ctf_tes_sym.wsc,converted_xenon_pc_wsc,2026,True,2,10715,10715,3AD97BDBFC677D50195352185ED4372E21EAFD42,3AD97BDBFC677D50195352185ED4372E21EAFD42,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_tum/ctf_tum_single.wsc,converted_xenon_pc_wsc,2029,True,2,12212,12212,C4BD576D195D5D12B51EB87C07CA9181A781E95C,C4BD576D195D5D12B51EB87C07CA9181A781E95C,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_upr/ctf_upr.wsc,converted_xenon_pc_wsc,2032,True,2,11585,11585,89F4E225245917178C724A6698A34B467FA7AF27,89F4E225245917178C724A6698A34B467FA7AF27,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/ctf_w2/ctf_w2_single.wsc,converted_xenon_pc_wsc,2035,True,2,9209,9209,4D0C9776698392E89429935CE8E6AE8CF9B8399F,4D0C9776698392E89429935CE8E6AE8CF9B8399F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/dm_arm/deathmatch_arm.wsc,converted_xenon_pc_wsc,2038,True,2,12681,12681,F47AEBF2F239BE1FC2D39A073304251BF750E329,F47AEBF2F239BE1FC2D39A073304251BF750E329,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/dm_chu/deathmatch_chu.wsc,converted_xenon_pc_wsc,2041,True,2,11809,11809,FF22F4348455E55544054B07ECC398794F8BB0EA,FF22F4348455E55544054B07ECC398794F8BB0EA,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/dm_hen/deathmatch_hen.wsc,converted_xenon_pc_wsc,2044,True,2,12900,12900,434F50DD1B9AEAA2BBDD469CB6A9B1A4872C6BDC,434F50DD1B9AEAA2BBDD469CB6A9B1A4872C6BDC,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/dm_lsh/deathmatch_lsh.wsc,converted_xenon_pc_wsc,2047,True,2,13001,13001,4C521CCB71237F54E8ADEF20065225B480A5CACF,4C521CCB71237F54E8ADEF20065225B480A5CACF,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/dm_tum/deathmatch_tum.wsc,converted_xenon_pc_wsc,2050,True,2,12617,12617,79C6F26B7B001D97CA02CD8B990045EE60DE0407,79C6F26B7B001D97CA02CD8B990045EE60DE0407,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/minigames/liarsdice_sb.wsc,converted_xenon_pc_wsc,2055,True,2,2578,2578,9C25B64953A33D6741020395DB564CF7AE34711A,9C25B64953A33D6741020395DB564CF7AE34711A,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/regions/minigames/poker_sb.wsc,converted_xenon_pc_wsc,2056,True,2,2596,2596,723670486382E66B1D9DC161D182113C28651152,723670486382E66B1D9DC161D182113C28651152,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/rotations/gametype_lobby.wsc,converted_xenon_pc_wsc,2059,True,2,35720,35720,8277BD5E34BCB514D575AF0497AD9558C352E941,8277BD5E34BCB514D575AF0497AD9558C352E941,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/sessionmap.wsc,converted_xenon_pc_wsc,1891,True,2,1020,1020,575D9BFD290FD637A492AC7D12493423F764C2F1,575D9BFD290FD637A492AC7D12493423F764C2F1,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/spectator/mp_spectator.wsc,converted_xenon_pc_wsc,2064,True,2,2458,2458,29C629CC97E2C383F75FAF117B43AB06F4672554,29C629CC97E2C383F75FAF117B43AB06F4672554,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/spectator/mp_spectatormk2.wsc,converted_xenon_pc_wsc,2065,True,2,3568,3568,FE5E40B1D79543B1E4CF02CB84372B770802AF8D,FE5E40B1D79543B1E4CF02CB84372B770802AF8D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/support/mp_actorpicker.wsc,converted_xenon_pc_wsc,2069,True,2,20335,20335,65B8DD0DF272DE854FD181F86EFC4DF349AC49C6,65B8DD0DF272DE854FD181F86EFC4DF349AC49C6,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release/multiplayer/tutorial/mp_tutorial.wsc,converted_xenon_pc_wsc,2078,True,2,2748,2748,3CBAA3E712D9EE35EF012987C75584F4BF27366F,3CBAA3E712D9EE35EF012987C75584F4BF27366F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
C_converted_plus_core_D,root/content/release64/main.wsc,main_no_autosave_to_xmlsave,273,True,2,75695,75695,5981B1D5DD81A413228CEB25D4211D32C07800A5,5981B1D5DD81A413228CEB25D4211D32C07800A5,exact_match,patched
C_converted_plus_core_D,root/content/release64/main_z.wsc,main_no_autosave_to_xmlsave,262,True,2,65314,65314,E452638D24E95040FDEAA002EFCDC4EFEF3EB70C,E452638D24E95040FDEAA002EFCDC4EFEF3EB70C,exact_match,patched
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/fort_mercer/fortmercermp.wsc,converted_xenon_pc_wsc,1683,True,2,28999,28999,9CADD44E7F4C26118AC662E893F84198468BD1D2,9CADD44E7F4C26118AC662E893F84198468BD1D2,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.wsc,converted_xenon_pc_wsc,1686,True,2,31038,31038,4C700F7F59793C8FDD71FC800773BBFBFCB91496,4C700F7F59793C8FDD71FC800773BBFBFCB91496,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/genericmp_aa.wsc,converted_xenon_pc_wsc,1680,True,2,2808,2808,94A6BFE13B365021F406D4820800DF341409CDE1,94A6BFE13B365021F406D4820800DF341409CDE1,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/nosalida/nosalidamp.wsc,converted_xenon_pc_wsc,1689,True,2,27920,27920,3F68FB9726D3690722E4DD9FC174ED0E3DE08214,3F68FB9726D3690722E4DD9FC174ED0E3DE08214,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/pikes_basin/pikesbasinmp.wsc,converted_xenon_pc_wsc,1692,True,2,28777,28777,2309DA2EBDBEB87B5ACA0359FE1B0B9D78603C7E,2309DA2EBDBEB87B5ACA0359FE1B0B9D78603C7E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/solomons_folly/solomonsfollymp.wsc,converted_xenon_pc_wsc,1695,True,2,26640,26640,550624B4982C7D45275014994F0F8BABBF67A340,550624B4982C7D45275014994F0F8BABBF67A340,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/tesoro_azul/tesoroazulmp.wsc,converted_xenon_pc_wsc,1698,True,2,28526,28526,B37EC7B653886CB5B90806F5FE16BC1FB569604F,B37EC7B653886CB5B90806F5FE16BC1FB569604F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/tumbleweed/tumbleweedmp.wsc,converted_xenon_pc_wsc,1701,True,2,28774,28774,B23ED21DA2E26C5F041DAA68EB1E84E7F1E3BEDA,B23ED21DA2E26C5F041DAA68EB1E84E7F1E3BEDA,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/twin_rocks/twinrocksmp.wsc,converted_xenon_pc_wsc,1704,True,2,27632,27632,6F1DDF6B58A2BFA67DC1AB4A9087EBE005606699,6F1DDF6B58A2BFA67DC1AB4A9087EBE005606699,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/wilderness/bearwildernessaa.wsc,converted_xenon_pc_wsc,1713,True,2,12674,12674,202479B2C57D622187BF9E6A5E41133041405AD8,202479B2C57D622187BF9E6A5E41133041405AD8,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/wilderness/boarwildernessaa.wsc,converted_xenon_pc_wsc,1714,True,2,12602,12602,64C38A82ED40C194E3674904E258A7D10F960BC5,64C38A82ED40C194E3674904E258A7D10F960BC5,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/wilderness/cougarwildernessaa.wsc,converted_xenon_pc_wsc,1715,True,2,12613,12613,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/action_areas/wilderness/wolfwildernessaa.wsc,converted_xenon_pc_wsc,1716,True,2,12601,12601,4009FD4875E698AB0BD1C167BDA2244630B1832D,4009FD4875E698AB0BD1C167BDA2244630B1832D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/ctf/ctf_base_game.wsc,converted_xenon_pc_wsc,1719,True,2,45649,45649,71CDC54C375F47C1C79006C35E25ACC709CB463D,71CDC54C375F47C1C79006C35E25ACC709CB463D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/deathmatch/deathmatch.wsc,converted_xenon_pc_wsc,1724,True,2,34747,34747,05C05FF5E154953E92C9C529AF324EEF11BEE27A,05C05FF5E154953E92C9C529AF324EEF11BEE27A,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/deathmatch/testmatch.wsc,converted_xenon_pc_wsc,1725,True,2,7612,7612,BBACFCC745E80281D0F75E3807A451FFF4357D8F,BBACFCC745E80281D0F75E3807A451FFF4357D8F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/freemode/freemode.wsc,converted_xenon_pc_wsc,1728,True,2,47921,47921,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/mp_help_barker.wsc,converted_xenon_pc_wsc,1662,True,2,482,482,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/mp_idle.wsc,converted_xenon_pc_wsc,1663,True,2,41676,41676,24A3910648EE433FB939C237E73BA017B0F1C88E,24A3910648EE433FB939C237E73BA017B0F1C88E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/mp_teleport.wsc,converted_xenon_pc_wsc,1664,True,2,4859,4859,BF1321D39AE062896FCAFC57F7533D72B0ACA568,BF1321D39AE062896FCAFC57F7533D72B0ACA568,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/multiplayer_system_thread.wsc,converted_xenon_pc_wsc,1665,True,2,29531,29531,833396B0CE310DE38A2B9A3F915663FD50C68C6D,833396B0CE310DE38A2B9A3F915663FD50C68C6D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/multiplayer_update_thread.wsc,converted_xenon_pc_wsc,1666,True,2,22949,22949,014A5BEDE62229250711D7A9F501E882D6DDF4BF,014A5BEDE62229250711D7A9F501E882D6DDF4BF,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/playground/jt_mpplayground.wsc,converted_xenon_pc_wsc,1745,True,2,44245,44245,2204871595CFFAC96D5E4482DD336207E812D89A,2204871595CFFAC96D5E4482DD336207E812D89A,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/playground/mpplayground.wsc,converted_xenon_pc_wsc,1746,True,2,30585,30585,77FACC80F82C24CE59893FA7843DD5E2325B1FD4,77FACC80F82C24CE59893FA7843DD5E2325B1FD4,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/playground/simple_mpplayground.wsc,converted_xenon_pc_wsc,1747,True,2,41595,41595,75A6DB58B55C52D9A1BCBDC7D55108AEA84273A0,75A6DB58B55C52D9A1BCBDC7D55108AEA84273A0,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/playground/test001.wsc,converted_xenon_pc_wsc,1748,True,2,200,200,503DE46FF22B47E916AABF3D94438BF1EE551D4F,503DE46FF22B47E916AABF3D94438BF1EE551D4F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/pr_multiplayer.wsc,converted_xenon_pc_wsc,1667,True,2,14522,14522,1B205CE80FE1FE56F8A3DC91BFF11AB8A3E994B0,1B205CE80FE1FE56F8A3DC91BFF11AB8A3E994B0,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/coop/coopbasic.wsc,converted_xenon_pc_wsc,1767,True,2,9339,9339,3703790BF7488A899CB69E563C2C298EF5D28A53,3703790BF7488A899CB69E563C2C298EF5D28A53,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_arm/ctf_arm.wsc,converted_xenon_pc_wsc,1774,True,2,12683,12683,5EBAED740D79D7C6B12EC469EEFBBA0C56D2B1F3,5EBAED740D79D7C6B12EC469EEFBBA0C56D2B1F3,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_arm/ctf_arm_single.wsc,converted_xenon_pc_wsc,1775,True,2,12438,12438,E659DDC3480B37E9884B9B7B23D05AAAFCD0BE27,E659DDC3480B37E9884B9B7B23D05AAAFCD0BE27,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_arm/ctf_arm_sym.wsc,converted_xenon_pc_wsc,1776,True,2,12366,12366,210AE1BB4F829CCFCB89E6C9508532CDD7DCD0A7,210AE1BB4F829CCFCB89E6C9508532CDD7DCD0A7,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_chu/ctf_chu.wsc,converted_xenon_pc_wsc,1783,True,2,11422,11422,47A28C9C9BEF5BC6CA1EDF13826F70411B6890BD,47A28C9C9BEF5BC6CA1EDF13826F70411B6890BD,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_chu/ctf_chu_single.wsc,converted_xenon_pc_wsc,1784,True,2,11447,11447,FC030B0AD3864C94A25163C35D587A2BA5B9DC94,FC030B0AD3864C94A25163C35D587A2BA5B9DC94,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_chu/ctf_chu_sym.wsc,converted_xenon_pc_wsc,1785,True,2,11399,11399,A63FE39900A02F9B87068DC36306A96CBDD8FD13,A63FE39900A02F9B87068DC36306A96CBDD8FD13,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_dzc/ctf_dzc_sym.wsc,converted_xenon_pc_wsc,1788,True,2,11738,11738,9E7A1944149885F9E81D0A1D0401EF69F9D96D87,9E7A1944149885F9E81D0A1D0401EF69F9D96D87,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_hen/ctf_hen.wsc,converted_xenon_pc_wsc,1791,True,2,12297,12297,025AC014EB7E850B42E753CB3B11B16B058406B5,025AC014EB7E850B42E753CB3B11B16B058406B5,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_lsh/ctf_lsh.wsc,converted_xenon_pc_wsc,1796,True,2,13277,13277,619953F010282DDF6EA87480A218739A6F6420E7,619953F010282DDF6EA87480A218739A6F6420E7,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_lsh/ctf_lsh_sym.wsc,converted_xenon_pc_wsc,1797,True,2,11386,11386,D5C0D24FA25AF29A75E5BA54E952017D1BCF7C8C,D5C0D24FA25AF29A75E5BA54E952017D1BCF7C8C,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_tes/ctf_tes_single.wsc,converted_xenon_pc_wsc,1802,True,2,10769,10769,82C14FC21412228B95FF91E85012041DC872E0E0,82C14FC21412228B95FF91E85012041DC872E0E0,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_tes/ctf_tes_sym.wsc,converted_xenon_pc_wsc,1803,True,2,10715,10715,3AD97BDBFC677D50195352185ED4372E21EAFD42,3AD97BDBFC677D50195352185ED4372E21EAFD42,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_tum/ctf_tum_single.wsc,converted_xenon_pc_wsc,1806,True,2,12212,12212,C4BD576D195D5D12B51EB87C07CA9181A781E95C,C4BD576D195D5D12B51EB87C07CA9181A781E95C,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_upr/ctf_upr.wsc,converted_xenon_pc_wsc,1809,True,2,11585,11585,89F4E225245917178C724A6698A34B467FA7AF27,89F4E225245917178C724A6698A34B467FA7AF27,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/ctf_w2/ctf_w2_single.wsc,converted_xenon_pc_wsc,1812,True,2,9209,9209,4D0C9776698392E89429935CE8E6AE8CF9B8399F,4D0C9776698392E89429935CE8E6AE8CF9B8399F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/dm_arm/deathmatch_arm.wsc,converted_xenon_pc_wsc,1815,True,2,12681,12681,F47AEBF2F239BE1FC2D39A073304251BF750E329,F47AEBF2F239BE1FC2D39A073304251BF750E329,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/dm_chu/deathmatch_chu.wsc,converted_xenon_pc_wsc,1818,True,2,11809,11809,FF22F4348455E55544054B07ECC398794F8BB0EA,FF22F4348455E55544054B07ECC398794F8BB0EA,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/dm_hen/deathmatch_hen.wsc,converted_xenon_pc_wsc,1821,True,2,12900,12900,434F50DD1B9AEAA2BBDD469CB6A9B1A4872C6BDC,434F50DD1B9AEAA2BBDD469CB6A9B1A4872C6BDC,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/dm_lsh/deathmatch_lsh.wsc,converted_xenon_pc_wsc,1824,True,2,13001,13001,4C521CCB71237F54E8ADEF20065225B480A5CACF,4C521CCB71237F54E8ADEF20065225B480A5CACF,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/dm_tum/deathmatch_tum.wsc,converted_xenon_pc_wsc,1827,True,2,12617,12617,79C6F26B7B001D97CA02CD8B990045EE60DE0407,79C6F26B7B001D97CA02CD8B990045EE60DE0407,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/minigames/liarsdice_sb.wsc,converted_xenon_pc_wsc,1832,True,2,2578,2578,9C25B64953A33D6741020395DB564CF7AE34711A,9C25B64953A33D6741020395DB564CF7AE34711A,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/regions/minigames/poker_sb.wsc,converted_xenon_pc_wsc,1833,True,2,2596,2596,723670486382E66B1D9DC161D182113C28651152,723670486382E66B1D9DC161D182113C28651152,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/rotations/gametype_lobby.wsc,converted_xenon_pc_wsc,1836,True,2,35720,35720,8277BD5E34BCB514D575AF0497AD9558C352E941,8277BD5E34BCB514D575AF0497AD9558C352E941,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/sessionmap.wsc,converted_xenon_pc_wsc,1668,True,2,1020,1020,575D9BFD290FD637A492AC7D12493423F764C2F1,575D9BFD290FD637A492AC7D12493423F764C2F1,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
D_full_runtime_probe,root/content/release64/multiplayer/spectator/mp_spectator.wsc,converted_xenon_pc_wsc,1841,True,2,2458,2458,29C629CC97E2C383F75FAF117B43AB06F4672554,29C629CC97E2C383F75FAF117B43AB06F4672554,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
